Project ID,Provider,Receiver,Transaction type,Finance type,Sector,Sector code,Sector vocabulary code,Value,Currency,Transaction date,Description
41122-Nepal-2970/A0/05/602/010,German Committee for UNICEF,UNICEF-41122,Commitment,,,,99,106212,USD,2014-12-31,
41122-Nepal-2970/A0/05/602/010,Global - Child Protection,UNICEF-41122,Commitment,,,,99,16553,USD,2014-12-31,
41122-Nepal-2970/A0/05/602/010,Global - Education,UNICEF-41122,Commitment,,,,99,70048,USD,2016-02-29,
41122-Nepal-2970/A0/05/602/010,Finland,UNICEF-41122,Commitment,,,,99,155601,USD,2014-12-31,
41122-Nepal-2970/A0/05/602/010,UNICEF (FOR GR ALLOCATIONS ONLY),UNICEF-41122,Commitment,,,,99,751110,USD,2014-12-31,
41122-Nepal-2970/A0/05/602/010,German Committee for UNICEF,UNICEF-41122,Commitment,,,,99,69332,USD,2013-12-31,
41122-Nepal-2970/A0/05/602/010,Japan Committee for UNICEF,UNICEF-41122,Commitment,,,,99,94323,USD,2014-12-31,
41122-Nepal-2970/A0/05/602/010,BASIC EDUCATION AND GENDER EQUALITY,UNICEF-41122,Commitment,,,,99,18609,USD,2013-12-31,
41122-Nepal-2970/A0/05/602/010,The United Kingdom,UNICEF-41122,Commitment,,,,99,205652,USD,2015-12-31,
41122-Nepal-2970/A0/05/602/010,Finland,UNICEF-41122,Commitment,,,,99,18107,USD,2016-02-29,
41122-Nepal-2970/A0/05/602/010,Japan Committee for UNICEF,UNICEF-41122,Commitment,,,,99,130,USD,2015-12-31,
41122-Nepal-2970/A0/05/602/010,German Committee for UNICEF,UNICEF-41122,Commitment,,,,99,49675,USD,2015-12-31,
41122-Nepal-2970/A0/05/602/010,Consolidated Funds from NatComs,UNICEF-41122,Commitment,,,,99,70,USD,2016-02-29,
41122-Nepal-2970/A0/05/602/010,Nepal,UNICEF-41122,Commitment,,,,99,10501571,USD,2016-02-29,
41122-Nepal-2970/A0/05/602/010,Swedish Committee for UNICEF,UNICEF-41122,Commitment,,,,99,79644,USD,2015-12-31,
41122-Nepal-2970/A0/05/602/010,European Commission/EC,UNICEF-41122,Commitment,,,,99,-1076,USD,2015-12-31,
41122-Nepal-2970/A0/05/602/010,Consolidated Funds from NatComs,UNICEF-41122,Commitment,,,,99,2589,USD,2015-12-31,
41122-Nepal-2970/A0/05/602/010,UNDP - MDTF,UNICEF-41122,Commitment,,,,99,7862,USD,2014-12-31,
