Project ID,Participating organisation,Participating organisation ref,Project title,Project description,Project result,Project status,Budget period start,Budget period end,Budget amount,Budget currency,Project location,Contact organisation,Contact email,Parent project ID,Start date,End date,Cluster
41122-Nepal-2970/A0/05/602/010,UNICEF,41122,"By 2017, selected hazard prone districts and municipalities have strengthened capacity and systems for disaster preparedness andemergency response in line with National Guidelines for Disaster Preparedness and Response Planning and UNICEF core commitments forchildren in Humanitarian Action","By 2017, selected hazard prone districts and municipalities have strengthened capacity and systems for disaster preparedness andemergency response in line with National Guidelines for Disaster Preparedness and Response Planning and UNICEF core commitments forchildren in Humanitarian Action",,Implementation,2015-01-01,2015-12-31,422000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/002,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/601/006,UNICEF,41122,"By 2017, a national system to protect children and adolescents, especially girls, from abuse, neglect and exploitation isincorporated in legislation and policies, planned, resourced, monitored, documented and coordinated across sectors and actors atnational and local level","By 2017, a national system to protect children and adolescents, especially girls, from abuse, neglect and exploitation isincorporated in legislation and policies, planned, resourced, monitored, documented and coordinated across sectors and actors atnational and local level",,Implementation,2013-01-01,2013-12-31,838340,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/602/011,UNICEF,41122,Emergency Earthquake (2015) Response,Emergency Earthquake (2015) Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/602 PCR2: SERVICE SYSTEMS STRENGTHENED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/003,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/603/001,UNICEF,41122,"By 2017, in selected districts and municipalities, families, especially the most vulnerable, practice promotive and preventivehealth behaviours including reduced harmful social practices that affect girls and boys with active involvement of male, family andcommunity members","By 2017, in selected districts and municipalities, families, especially the most vulnerable, practice promotive and preventivehealth behaviours including reduced harmful social practices that affect girls and boys with active involvement of male, family andcommunity members",,Implementation,2016-01-01,2016-12-31,605000,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/603 PCR3: SOCIAL NORMS & BEHAVIOURS CHANGED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/004,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/601/007,UNICEF,41122,"By 2017, Government institutions at national and sub-national levels that promote the rights of children, adolescents and womenare more able to generate and use evidence to develop, fund and monitor equity-focused, gender-sensitive, multi-sectoral planning,governance and social protection frameworks and related policies","By 2017, Government institutions at national and sub-national levels that promote the rights of children, adolescents and womenare more able to generate and use evidence to develop, fund and monitor equity-focused, gender-sensitive, multi-sectoral planning,governance and social protection frameworks and related policies",,Implementation,2015-01-01,2015-12-31,1046040,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/603/002,UNICEF,41122,"By 2017, in selected districts and municipalities, families, especially the most vulnerable, practice essential maternal,adolescent, newborn, infant and young child feeding and early stimulation, hygiene and sanitation, with active involvement of male,family and community members","By 2017, in selected districts and municipalities, families, especially the most vulnerable, practice essential maternal,adolescent, newborn, infant and young child feeding and early stimulation, hygiene and sanitation, with active involvement of male,family and community members",,Implementation,2017-01-01,2017-12-31,602600,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/603 PCR3: SOCIAL NORMS & BEHAVIOURS CHANGED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/805/005,UNICEF,41122,Field Operations - Earthquake Response,Field Operations - Earthquake Response,,Implementation,2016-01-01,2016-12-31,0,,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/805 EMERGENCY EARTHQUAKE RESPONSE,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/601/008,UNICEF,41122,"By 2017, national and provincial legislatures and administrative authorities have improved capacity to draft, reform and implementlegislation that complies with international child rights standards and to undertake priority advocacy actions for child rights","By 2017, national and provincial legislatures and administrative authorities have improved capacity to draft, reform and implementlegislation that complies with international child rights standards and to undertake priority advocacy actions for child rights",,Implementation,2017-01-01,2017-12-31,172800,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/601 PCR1: POLICY & LEGISLATION REFORMED,2013-01-01,2017-12-31,
41122-Nepal-2970/A0/05/603/003,UNICEF,41122,"By 2017, in selected districts and municipalities, parents' and stakeholders' support quality alternative learning opportunitiesfor out-of-school girls and boys, and improve education attendance and retention of girls and boys, from early childhood toadolescence","By 2017, in selected districts and municipalities, parents' and stakeholders' support quality alternative learning opportunitiesfor out-of-school girls and boys, and improve education attendance and retention of girls and boys, from early childhood toadolescence",,Implementation,2017-01-01,2017-12-31,1142300,USD,Nepal,UNICEF Nepal,kathmandu@unicef.org,2970/A0/05/603 PCR3: SOCIAL NORMS & BEHAVIOURS CHANGED,2013-01-01,2017-12-31,
