Project ID,Provider,Receiver,Transaction type,Finance type,Value,Currency,Transaction date,Transaction date narrative,Description,Sector
PPNL HUM 2015 001,Irish Aid,Oxfam Ireland,Incoming Funds,100,100000,EUR,2015-05-01,,Pre-positioned emergency response funds. Release granted 01/05/2015,
PPNL HUM 2015 001,Oxfam Ireland,Oxfam Nepal Country Programme,Disbursement,100,84906,EUR,2015-08-14,,Transfer of 1st Tranche of funds to Oxfam Nepal Country Programme to cover activities,
PPNL HUM 2015 001,Oxfam Ireland,Oxfam Nepal Country Programme,Disbursement,100,9434,EUR,2016-02-19,,"Transfer of 2nd Tranche of funds to Oxfam Nepal Country Programme to cover activities, following submission of final report",
PPNL HUM 2015 001,Oxfam Ireland,Oxfam Ireland,Disbursement,100,5660,EUR,2015-11-30,,Management Support Costs / Indirect Cost recovery. Transfer of funds from restricted fund to general funds,
NPLB33 R06406,Oxfam Nepal Country Programme,Suppliers Purchase costs,Expenditure,100,15239,EUR,2015-08-31,,Distribution of hygeine kits,
NPLB33 R06406,Oxfam Nepal Country Programme,Suppliers Purchase costs,Expenditure,100,21859,EUR,2015-08-31,,Distribution of hygeine kits,
NPLB33 R06406,Oxfam Nepal Country Programme,Suppliers Purchase costs,Expenditure,100,15359,EUR,2015-08-31,,Distribution of hygeine kits,
NPLB33 R06406,Oxfam Nepal Country Programme, Goreto Gorkha,Disbursement,100,3354,EUR,2015-07-31,,Transfer of funds to partner Goreto Gorkha,
NPLB33 R06406, Goreto Gorkha,Various,Expenditure,100,3354,EUR,2015-07-31,,Staff and transport costs,
NPLB33 R06406,Oxfam Nepal Country Programme,Vehicle Rental Costs,Expenditure,100,7478,EUR,2015-08-31,,Rental of vehicles for Oxfam staff to visit project sites. Multiple transaction dates: date given end of project period (posting as per General Ledger),
NPLB33 R06406,Oxfam Nepal Country Programme,Truck Rental Company,Expenditure,100,632,EUR,2015-08-31,,Rental of trucks to transport Hygeine Kits to distribution sites. Multiple transaction dates: date given end of project period (posting as per General Ledger),
NPLB33 R06406,Oxfam Nepal Country Programme,Casual Labour,Expenditure,100,239,EUR,2015-08-31,,Payment of loaders and unladers for hygeine kits. Multiple transaction dates: date given end of project period (posting as per General Ledger),
NPLB33 R06406,Oxfam Nepal Country Programme,Various,Expenditure,100,1885,EUR,2015-08-31,,"Sundry costs (mobile phone, stationery, office rent, etc) Multiple transaction dates: date given end of project period (posting as per General Ledger)",
NPLB33 R06406,Oxfam Nepal Country Programme,Oxfam Nepal Country Programme Staff,Expenditure,100,12645,EUR,2015-08-31,,Salaries for Oxfam Nepal Staff. Multiple transaction dates: date given end of project period (posting as per General Ledger),
